Tue Mar 30 15:58:58 2021; 731370983; John; Р¦РµРЅС‹
Tue Mar 30 15:59:04 2021; 731370983; John; РћСЃС‚Р°С‚РєРё РЅР° СЃС‡РµС‚Р°С…
Tue Mar 30 16:09:59 2021; 731370983; John; пїЅпїЅпїЅпїЅ 
Tue Mar 30 16:10:11 2021; 731370983; John; пїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅпїЅ(пїЅпїЅпїЅпїЅ) 
Tue Mar 30 16:11:40 2021; 731370983; John; пїЅпїЅпїЅпїЅпїЅпїЅ. < 30% 
Tue Mar 30 17:11:27 2021; 731370983; John; пїЅпїЅпїЅпїЅ 
Tue Mar 30 16:08:28 2021; 731370983; John; Р¦РµРЅС‹ 
Tue Mar 30 16:08:35 2021; 731370983; John; РџСЂРѕСЃСЂРѕС‡РєР°(С„Р°Р№Р») 

Thu Apr  1 13:11:24 2021; 731370983; John; Цены 
Thu Apr  1 13:11:35 2021; 731370983; John; Просрочка(файл) 
Thu Apr  1 13:13:23 2021; 731370983; John; Остатки на счетах 
Thu Apr  1 17:38:02 2021; 731370983; John; Остатки на счетах 
<<<<<<< Updated upstream
Tue Apr 13 10:46:38 2021; 731370983; John; РћС‚С‡РµС‚ 
=======
Tue Apr  6 10:54:13 2021; 731370983; John; Просрочка(файл) 
Sat Apr 10 20:14:59 2021; 731370983; John; Остатки на счетах 
Sat Apr 10 20:15:19 2021; 731370983; John; Рентаб. < 30% 
Sat Apr 10 20:18:25 2021; 731370983; John; Цены 
Sat Apr 10 20:18:53 2021; 731370983; John; Просрочка(файл) 
>>>>>>> Stashed changes
Tue Apr 13 10:52:26 2021; 731370983; John; Рентаб. < 30% 
Tue Apr 13 10:53:51 2021; 731370983; John; Рентаб. < 30% 
Tue Apr 13 10:54:05 2021; 731370983; John; Цены 
Tue Apr 13 10:54:08 2021; 731370983; John; Отчет 
Tue Apr 13 10:55:49 2021; 731370983; John; Отчет 
Tue Apr 13 10:56:15 2021; 731370983; John; Остатки на счетах 
Tue Apr 13 10:57:17 2021; 731370983; John; Остатки на счетах 
Tue Apr 13 10:57:33 2021; 731370983; John; Просрочка(файл) 
Tue Apr 13 10:58:10 2021; 731370983; John; Отчет 
Tue Apr 13 11:51:27 2021; 166543165; Марк-Аврелий; Рентаб. < 30% 
Tue Apr 13 11:51:40 2021; 166543165; Марк-Аврелий; Отчет 
Tue Apr 13 11:53:30 2021; 166543165; Марк-Аврелий; Отчет 
Tue Apr 13 13:58:17 2021; 166543165; Марк-Аврелий; Отчет 
Tue Apr 13 22:51:38 2021; 166543165; Марк-Аврелий; Отчет 
Wed Apr 14 11:34:00 2021; 731370983; John; Отчет 
